2024-12-10 04:55:29.83 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = 0,1680 sec.

2024-12-10 04:55:29.85 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_TdB_Update_All = 0,5410 sec.

2024-12-10 04:55:29.87 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-10 04:55:30.07 | GuillaumeCharron | APP_v5.G.5.xlsb | modStatsHeures:Stats_Heures_AF = 0,2031 sec.

2024-12-10 04:55:30.09 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables
2024-12-10 04:55:30.15 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:UpdatePivotTables = 0,0645 sec.

2024-12-10 04:55:30.16 | GuillaumeCharron | APP_v5.G.5.xlsb | wshTEC_TDB_Data:Worksheet_Change = 0,8750 sec.

2024-12-10 04:55:30.23 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 1/2024-12-10 = 2,8301 sec.

2024-12-10 04:55:30.25 | GuillaumeCharron | APP_v5.G.5.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne = 3,4746 sec.

2024-12-10 04:55:30.27 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:cmdAdd_Click = 3,5117 sec.

2024-12-10 04:57:41.29 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Terminate
2024-12-10 04:57:41.32 | GuillaumeCharron | APP_v5.G.5.xlsb | ufSaisieHeures:UserForm_Terminate = 0,0430 sec.

2024-12-10 04:57:43.34 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu
2024-12-10 04:57:43.37 | GuillaumeCharron | APP_v5.G.5.xlsb | modAppli:Hide_All_Worksheets_Except_Menu = 0,0410 sec.

2024-12-10 04:57:48.88 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Fournisseur_List_Import_All
2024-12-10 04:57:49.04 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Fournisseur_List_Import_All = 0,1582 sec.

2024-12-10 04:57:49.24 | GuillaumeCharron | APP_v5.G.5.xlsb | wshDEB_Saisie:Worksheet_Activate
2024-12-10 04:57:49.26 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:DEB_Trans_Import_All
2024-12-10 04:57:49.41 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:DEB_Trans_Import_All = 0,1582 sec.

2024-12-10 04:57:49.43 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:GL_Trans_Import_All
2024-12-10 04:57:49.70 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:GL_Trans_Import_All = 0,2695 sec.

2024-12-10 04:57:49.72 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Fournisseur_List_Import_All
2024-12-10 04:57:49.84 | GuillaumeCharron | APP_v5.G.5.xlsb | modImport:Fournisseur_List_Import_All = 0,1250 sec.

2024-12-10 04:57:49.87 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder(wshDEB_Saisie)
2024-12-10 04:57:49.90 | GuillaumeCharron | APP_v5.G.5.xlsb | modDev_Utils:SetTabOrder = 0,0352 sec.

