2024-12-29 17:51:21.39 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesTrimestre = '0,0195 secondes'

2024-12-29 17:51:21.41 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesAnneeFinanciere
2024-12-29 17:51:21.43 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:AddColonnesAnneeFinanciere = '0,0195 secondes'

2024-12-29 17:51:21.44 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:UserForm_Initialize = '1,1602 secondes'

2024-12-29 17:51:59.04 | GuillaumeCharron | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate
2024-12-29 17:51:59.07 | GuillaumeCharron | APP_v5.J.xlsb | modImport:Client_List_Import_All
2024-12-29 17:51:59.23 | GuillaumeCharron | APP_v5.J.xlsb | modImport:ResizeTable
2024-12-29 17:51:59.25 | GuillaumeCharron | APP_v5.J.xlsb | modImport:ResizeTable = '0,0273 secondes'

2024-12-29 17:51:59.27 | GuillaumeCharron | APP_v5.J.xlsb | modImport:ApplyFormatting
2024-12-29 17:51:59.30 | GuillaumeCharron | APP_v5.J.xlsb | modImport:ApplyFormatting = '0,0273 secondes'

2024-12-29 17:51:59.37 | GuillaumeCharron | APP_v5.J.xlsb | modImport:Client_List_Import_All = '0,3086 secondes'

2024-12-29 17:51:59.39 | GuillaumeCharron | APP_v5.J.xlsb | modImport:TEC_Import_All
2024-12-29 17:51:59.68 | GuillaumeCharron | APP_v5.J.xlsb | modImport:TEC_Import_All = '0,2891 secondes'

2024-12-29 17:51:59.71 | GuillaumeCharron | APP_v5.J.xlsb | ufSaisieHeures:UserForm_Activate = '0,6680 secondes'

2024-12-29 17:52:02.13 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB
2024-12-29 17:52:02.15 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2024-12-29 17:52:02.27 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local = '0,1133 secondes'

2024-12-29 17:52:02.29 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2024-12-29 17:52:02.55 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables = '0,2617 secondes'

2024-12-29 17:52:02.57 | GuillaumeCharron | APP_v5.J.xlsb | modTEC_TDB:ActualiserTEC_TDB = '0,4453 secondes'

2024-12-29 17:52:02.59 | GuillaumeCharron | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF
2024-12-29 17:52:02.73 | GuillaumeCharron | APP_v5.J.xlsb | modStatsHeures:Stats_Heures_AF = '0,1523 secondes'

2024-12-29 17:52:02.76 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:UpdatePivotTables
2024-12-29 17:52:02.82 | GuillaumeCharron | APP_v5.J.xlsb | modAppli:UpdatePivotTables = '0,0625 secondes'

2024-12-29 17:52:02.87 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:UserForm_Initialize
2024-12-29 17:52:02.89 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:ChargerListBoxAvec52DernieresSemaines
2024-12-29 17:52:02.91 | GuillaumeCharron | APP_v5.J.xlsb | ufStatsHeures:lbxDatesSemaines_Click()
