2024-11-22 10:41:41.00 | User | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,7383 sec. | 31

2024-11-22 10:41:42.04 | User | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne | 3,7305 sec. | 31

2024-11-22 10:41:42.09 | User | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click | 3,8320 sec. | 31

2024-11-22 10:42:05.56 | User | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Terminate |  | 31
2024-11-22 10:42:05.65 | User | APP_v5.D.1.xlsb | ufSaisieHeures:UserForm_Terminate | 0,0938 sec. | 31

2024-11-22 10:42:09.50 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-22 10:42:09.56 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0664 sec. | 31

2024-11-22 10:42:11.98 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-22 10:42:12.06 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0820 sec. | 31

2024-11-22 10:42:12.12 | User | APP_v5.D.1.xlsb | modMenu:Delete_User_Active_File |  | 31
2024-11-22 10:42:12.30 | User | APP_v5.D.1.xlsb | modMenu:Delete_User_Active_File | 0,1836 sec. | 31

2024-11-22 10:42:12.38 | User | APP_v5.D.1.xlsb | ***** Session terminée NORMALEMENT avec la procédure 'modMenu:Exit_After_Saving' ***** |  | 31

2024-11-22 17:28:50.99 | User | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-22 17:28:51.06 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-22 17:28:51.15 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File | 0,0898 sec. | 31

2024-11-22 17:28:51.31 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-22 17:28:52.48 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-11-22 17:28:52.77 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
2024-11-22 17:28:52.91 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - Le fichier masterWorkbook est fermé |  | 31
2024-11-22 17:28:52.99 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile | 1,6914 sec. | 31

2024-11-22 17:28:53.04 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-11-22 17:28:53.08 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,0547 sec. | 31

2024-11-22 17:28:53.20 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu |  | 31
2024-11-22 17:28:53.42 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu | 0,2227 sec. | 31

2024-11-22 17:28:53.59 | User | APP_v5.D.1.xlsb | ThisWorkbook:Workbook_Open | 2,6094 sec. | 31

2024-11-22 17:29:33.35 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-22 17:29:33.43 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0977 sec. | 31

2024-11-22 17:31:14.69 | User | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-22 17:31:14.79 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-22 17:31:14.88 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File | 0,0977 sec. | 31

2024-11-22 17:31:14.94 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-22 17:31:15.95 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-11-22 17:31:16.22 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
2024-11-22 17:31:16.38 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - Le fichier masterWorkbook est fermé |  | 31
2024-11-22 17:31:16.45 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile | 1,5195 sec. | 31

2024-11-22 17:31:16.50 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-11-22 17:31:16.57 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,0742 sec. | 31

2024-11-22 17:31:16.66 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu |  | 31
2024-11-22 17:31:16.77 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu | 0,1250 sec. | 31

2024-11-22 17:31:16.91 | User | APP_v5.D.1.xlsb | ThisWorkbook:Workbook_Open | 2,2305 sec. | 31

2024-11-22 17:32:47.09 | User | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-22 17:32:47.19 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-22 17:32:47.27 | User | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File | 0,0938 sec. | 31

2024-11-22 17:32:47.33 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
2024-11-22 17:32:48.29 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La variable masterWorkbook est initialisée |  | 31
2024-11-22 17:32:48.59 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - La copie est réussie |  | 31
2024-11-22 17:32:48.77 | User | APP_v5.D.1.xlsb |    ThisWorkbook:BackupMasterFile - Le fichier masterWorkbook est fermé |  | 31
2024-11-22 17:32:48.84 | User | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile | 1,5195 sec. | 31

2024-11-22 17:32:48.89 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username |  | 31
2024-11-22 17:32:48.95 | User | APP_v5.D.1.xlsb | modMenu:Hide_Dev_Shapes_Based_On_Username | 0,0625 sec. | 31

2024-11-22 17:32:49.06 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu |  | 31
2024-11-22 17:32:49.23 | User | APP_v5.D.1.xlsb | modAppli:Write_Info_On_Main_Menu | 0,1797 sec. | 31

2024-11-22 17:32:49.41 | User | APP_v5.D.1.xlsb | ThisWorkbook:Workbook_Open | 2,3281 sec. | 31

2024-11-22 17:33:03.09 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-22 17:33:03.19 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,1211 sec. | 31

2024-11-22 17:33:07.75 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu |  | 31
2024-11-22 17:33:07.81 | User | APP_v5.D.1.xlsb | modAppli:Hide_All_Worksheets_Except_Menu | 0,0703 sec. | 31

2024-11-22 17:34:49.34 | Annie | APP_v5.D.1.xlsb | ***** Début d'une nouvelle session (Workbook_Open) ***** |  | 31
2024-11-22 17:34:49.47 | Annie | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File |  | 31
2024-11-22 17:34:49.69 | Annie | APP_v5.D.1.xlsb | ThisWorkbook:Create_User_Active_File | 0.2383 sec. | 31

2024-11-22 17:34:49.79 | Annie | APP_v5.D.1.xlsb | ThisWorkbook:BackupMasterFile |  | 31
