2025-02-03 08:09:28.11 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.6]
2025-02-03 08:09:28.17 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0684 secondes'

2025-02-03 08:09:28.22 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit[0,60]
2025-02-03 08:09:28.26 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0469 secondes'

2025-02-03 08:09:29.51 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate
2025-02-03 08:09:29.55 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:chbFacturable_AfterUpdate *** = '0,0508 secondes'

2025-02-03 08:09:31.17 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdAdd_Click
2025-02-03 08:09:31.22 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-02-03 08:09:31.26 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - z_Administratif_Autres non chargeables
2025-02-03 08:09:31.30 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - 5 *** = '0,0488 secondes'

2025-02-03 08:09:31.35 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-02-03 08:09:32.08 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,7324 secondes'

2025-02-03 08:09:32.12 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-02-03 08:09:32.32 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,2051 secondes'

2025-02-03 08:09:32.37 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-02-03
2025-02-03 08:09:32.56 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF *** = '0,1953 secondes'

2025-02-03 08:09:32.60 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-02-03
2025-02-03 08:09:32.68 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change($U$7)
2025-02-03 08:09:32.73 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB
2025-02-03 08:09:32.77 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local
2025-02-03 08:09:32.92 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local *** = '0,1523 secondes'

2025-02-03 08:09:32.96 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables
2025-02-03 08:09:33.15 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables *** = '0,1895 secondes'

2025-02-03 08:09:33.19 | vgervais | APP_v5.N.6.xlsb | modTEC_TDB:ActualiserTEC_TDB *** = '0,4688 secondes'

2025-02-03 08:09:33.23 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF
2025-02-03 08:09:33.75 | vgervais | APP_v5.N.6.xlsb | modStatsHeures:Stats_Heures_AF *** = '0,5195 secondes'

2025-02-03 08:09:33.79 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables
2025-02-03 08:09:33.91 | vgervais | APP_v5.N.6.xlsb | modAppli:UpdatePivotTables *** = '0,1270 secondes'

2025-02-03 08:09:33.96 | vgervais | APP_v5.N.6.xlsb | wshTEC_TDB_Data:Worksheet_Change *** = '1,2852 secondes'

2025-02-03 08:09:34.04 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours - 2/2025-02-03 *** = '1,4414 secondes'

2025-02-03 08:09:34.08 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne *** = '2,8711 secondes'

2025-02-03 08:09:34.12 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdAdd_Click *** = '2,9629 secondes'

2025-02-03 08:14:14.64 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate[mul]
2025-02-03 08:14:14.69 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0605 secondes'

2025-02-03 08:14:14.92 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lstboxNomClient_DblClick
2025-02-03 08:14:15.01 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - Multi-Plis Inc. [Chantal Veillette]
2025-02-03 08:14:15.05 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - 1663 *** = '0,0449 secondes'

2025-02-03 08:14:15.09 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - 1663
2025-02-03 08:14:15.13 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - Multi-Plis Inc. [Chantal Veillette] *** = '0,0469 secondes'

2025-02-03 08:14:15.19 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:lstboxNomClient_DblClick *** = '0,2773 secondes'

2025-02-03 08:14:15.24 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - Multi-Plis Inc. [Chantal Veillette]
2025-02-03 08:14:15.28 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - Multi-Plis Inc. [Chantal Veillette] *** = '0,0469 secondes'

2025-02-03 08:14:15.33 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate[Multi-Plis Inc. [Chantal Veillette]]
2025-02-03 08:14:15.38 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtClient_AfterUpdate *** = '0,0547 secondes'

2025-02-03 08:14:22.60 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtActivite_AfterUpdate[Révision T2 ]
2025-02-03 08:14:22.65 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtActivite_AfterUpdate *** = '0,0547 secondes'

2025-02-03 08:14:23.87 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate[.2]
2025-02-03 08:14:23.91 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_AfterUpdate *** = '0,0527 secondes'

2025-02-03 08:14:23.96 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit[0,20]
2025-02-03 08:14:24.00 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:txtHeures_Exit *** = '0,0449 secondes'

2025-02-03 08:14:25.00 | vgervais | APP_v5.N.6.xlsb | ufSaisieHeures:cmdAdd_Click
2025-02-03 08:14:25.05 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne
2025-02-03 08:14:25.11 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - Multi-Plis Inc. [Chantal Veillette]
2025-02-03 08:14:25.15 | vgervais | APP_v5.N.6.xlsb | modFunctions:Fn_Cell_From_BD_Client - 1663 *** = '0,0469 secondes'

2025-02-03 08:14:25.19 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB(0)
2025-02-03 08:14:25.92 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - 0 *** = '0,7324 secondes'

2025-02-03 08:14:25.96 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally(0)
2025-02-03 08:14:26.15 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally - 0 *** = '0,1934 secondes'

2025-02-03 08:14:26.19 | vgervais | APP_v5.N.6.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2025-02-03
