2025-06-08 16:15:56.99 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterFacProjetsDetails |  | 0,0938 secondes

2025-06-08 16:15:57.01 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierFACProjetsDetails |  | 0,1094 secondes

2025-06-08 16:15:57.02 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierGLTrans |  | 
2025-06-08 16:15:57.02 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterGLTransactions |  | 
2025-06-08 16:15:57.04 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:GL_Trans |  | 
2025-06-08 16:15:58.09 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:GL_Trans |  | 1,0469 secondes

2025-06-08 16:15:58.10 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterGLTransactions |  | 1,0781 secondes

2025-06-08 16:15:58.16 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierGLTrans |  | 1,1406 secondes

2025-06-08 16:15:58.18 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierGLEJRecurrente |  | 
2025-06-08 16:15:58.18 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEJRecurrente |  | 
2025-06-08 16:15:58.18 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:GL_EJ_Récurrente |  | 
2025-06-08 16:15:58.29 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:GL_EJ_Récurrente |  | 0,1094 secondes

2025-06-08 16:15:58.30 | Robert M. Vigneault | APP_v6.C.94.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary |  | 
2025-06-08 16:15:58.32 | Robert M. Vigneault | APP_v6.C.94.xlsb | modGL_EJ:GL_EJ_Recurrente_Build_Summary |  | 0,0156 secondes

2025-06-08 16:15:58.32 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterEJRecurrente |  | 0,1406 secondes

2025-06-08 16:15:58.34 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierGLEJRecurrente |  | 0,1562 secondes

2025-06-08 16:15:58.35 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierTECTdBData |  | 
2025-06-08 16:15:58.35 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterTEC |  | 
2025-06-08 16:15:58.35 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:TEC_Local |  | 
2025-06-08 16:15:59.95 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImportGeneriqueDuMaster:TEC_Local |  | 1,5977 secondes

2025-06-08 16:15:59.98 | Robert M. Vigneault | APP_v6.C.94.xlsb | modImport:ImporterTEC |  | 1,6289 secondes

2025-06-08 16:15:59.98 | Robert M. Vigneault | APP_v6.C.94.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 
2025-06-08 16:15:59.98 | Robert M. Vigneault | APP_v6.C.94.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 
2025-06-08 16:16:00.31 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshTEC_TDB_Data:Worksheet_Change | $A$2:$K$7100 | 
2025-06-08 16:16:00.32 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshTEC_TDB_Data:Worksheet_Change |  | 0,0156 secondes

2025-06-08 16:16:00.32 | Robert M. Vigneault | APP_v6.C.94.xlsb | modTEC_Saisie:TEC_Update_TDB_From_TEC_Local |  | 0,3438 secondes

2025-06-08 16:16:00.34 | Robert M. Vigneault | APP_v6.C.94.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 
2025-06-08 16:16:00.51 | Robert M. Vigneault | APP_v6.C.94.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 0,1719 secondes

2025-06-08 16:16:00.53 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshTEC_TDB:AjusteBordurePivotTable |  | 
2025-06-08 16:16:00.53 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshTEC_TDB:AjusteBordurePivotTable |  | 0,0000 secondes

2025-06-08 16:16:00.54 | Robert M. Vigneault | APP_v6.C.94.xlsb | modTEC_TDB:ActualiserTEC_TDB |  | 0,5625 secondes

2025-06-08 16:16:01.03 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierTECTdBData |  | 2,6758 secondes

2025-06-08 16:16:01.05 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierTEC |  | 
2025-06-08 16:16:18.21 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierTEC |  | 17,1602 secondes

2025-06-08 16:16:18.22 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:NoterNombreLignesParFeuille |  | 
2025-06-08 16:16:20.27 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:NoterNombreLignesParFeuille |  | 2,0547 secondes

2025-06-08 16:16:22.74 | Robert M. Vigneault | APP_v6.C.94.xlsb | modAppli_Utils:VerifierIntegriteTablesLocales |  | 37,7266 secondes

2025-06-08 16:17:31.25 | Robert M. Vigneault | APP_v6.C.94.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 
2025-06-08 16:17:31.27 | Robert M. Vigneault | APP_v6.C.94.xlsb | modMenu:Hide_All_Worksheets_Except_Menu |  | 0,0195 secondes

2025-06-08 16:17:32.29 | Robert M. Vigneault | APP_v6.C.94.xlsb | modMenu:menuFacturation_Click |  | 
2025-06-08 16:17:32.34 | Robert M. Vigneault | APP_v6.C.94.xlsb | modMenu:menuFacturation_Click |  | 0,0508 secondes

2025-06-08 16:17:33.04 | Robert M. Vigneault | APP_v6.C.94.xlsb | wshCAR_Liste_Agée:Worksheet_Activate |  | 
