2024-12-02 22:39:16.38 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,4844 sec. | 31

2024-12-02 22:39:16.41 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne | 2,3438 sec. | 31

2024-12-02 22:39:16.45 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click | 2,4062 sec. | 31

2024-12-02 22:39:28.74 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate - desgag |  | 31
2024-12-02 22:39:28.78 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - desgag |  | 31
2024-12-02 22:39:29.92 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Not Found | 1,1406 sec. | 31

2024-12-02 22:39:29.95 | vgervais | APP_v5.D.1.xlsb |    ufSaisieHeures:txtClient_AfterUpdate -  |  | 31
2024-12-02 22:39:29.98 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 1,2500 sec. | 31

2024-12-02 22:39:31.42 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 31
2024-12-02 22:39:31.48 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9513-1926 Québec Inc. [Francis Desgagnés] |  | 31
2024-12-02 22:39:31.53 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1775 | 0,0547 sec. | 31

2024-12-02 22:39:31.56 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:lstboxNomClient_DblClick | 0,1484 sec. | 31

2024-12-02 22:39:31.60 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate - 9513-1926 Québec Inc. [Francis Desgagnés] |  | 31
2024-12-02 22:39:31.63 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 9513-1926 Québec Inc. [Francis Desgagnés] |  | 31
2024-12-02 22:39:31.66 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1775 | 0,0391 sec. | 31

2024-12-02 22:39:31.70 | vgervais | APP_v5.D.1.xlsb |    ufSaisieHeures:txtClient_AfterUpdate - 1775 |  | 31
2024-12-02 22:39:31.74 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,1406 sec. | 31

2024-12-02 22:39:50.49 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 31
2024-12-02 22:39:50.54 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | 0,0469 sec. | 31

2024-12-02 22:39:51.70 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 31
2024-12-02 22:39:51.73 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0391 sec. | 31

2024-12-02 22:39:51.77 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_Exit |  | 31
2024-12-02 22:39:51.80 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0312 sec. | 31

2024-12-02 22:39:52.70 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 31
2024-12-02 22:39:52.74 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 31
2024-12-02 22:39:52.77 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - TECID = '0' |  | 31
2024-12-02 22:39:52.96 | vgervais | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - AddingNewRecord - TECID = 0 |  | 31
2024-12-02 22:39:53.06 | vgervais | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le nouvel enregistrement, TECID a été assigné à 2755 |  | 31
2024-12-02 22:39:53.09 | vgervais | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Création du RecordSet |  | 31
2024-12-02 22:39:53.13 | vgervais | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le RecordSet a été ajouté pour le TECID = 2755 |  | 31
2024-12-02 22:39:53.38 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0,6094 sec. | 31

2024-12-02 22:39:53.41 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally |  | 31
2024-12-02 22:39:53.49 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0,0859 sec. | 31

2024-12-02 22:39:53.52 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF - 2/2024-12-02 |  | 31
2024-12-02 22:39:53.62 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Get_All_TEC_AF | 0,1016 sec. | 31

2024-12-02 22:39:53.65 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours |  | 31
2024-12-02 22:39:53.68 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-12-02 22:39:53.72 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-12-02 22:39:53.98 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,2656 sec. | 31

2024-12-02 22:39:54.01 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-12-02 22:39:54.18 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,1797 sec. | 31

2024-12-02 22:39:54.21 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,5391 sec. | 31

2024-12-02 22:39:54.26 | vgervais | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters |  | 31
2024-12-02 22:39:54.43 | vgervais | APP_v5.D.1.xlsb | modStatsHeures:StatsHeures_AdvancedFilters | 0,1797 sec. | 31

2024-12-02 22:39:54.55 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Refresh_ListBox_And_Add_Hours | 0,9062 sec. | 31

2024-12-02 22:39:54.59 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All |  | 31
2024-12-02 22:39:54.62 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data |  | 31
2024-12-02 22:39:54.85 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Push_TEC_Local_To_DB_Data | 0,2344 sec. | 31

2024-12-02 22:39:54.88 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables |  | 31
2024-12-02 22:39:55.03 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Refresh_All_Pivot_Tables | 0,1562 sec. | 31

2024-12-02 22:39:55.07 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_TdB_Update_All | 0,4844 sec. | 31

2024-12-02 22:39:55.10 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne | 2,3672 sec. | 31

2024-12-02 22:39:55.13 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click | 2,4375 sec. | 31

2024-12-02 22:40:02.77 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate - groupe tel |  | 31
2024-12-02 22:40:02.80 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - groupe tel |  | 31
2024-12-02 22:40:04.05 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Not Found | 1,2500 sec. | 31

2024-12-02 22:40:04.08 | vgervais | APP_v5.D.1.xlsb |    ufSaisieHeures:txtClient_AfterUpdate -  |  | 31
2024-12-02 22:40:04.13 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 1,3672 sec. | 31

2024-12-02 22:40:05.31 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:lstboxNomClient_DblClick |  | 31
2024-12-02 22:40:05.38 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Groupe Teltech Inc. [François Tessier] |  | 31
2024-12-02 22:40:05.45 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1541 | 0,0625 sec. | 31

2024-12-02 22:40:05.48 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:lstboxNomClient_DblClick | 0,1641 sec. | 31

2024-12-02 22:40:05.51 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate - Groupe Teltech Inc. [François Tessier] |  | 31
2024-12-02 22:40:05.54 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - Groupe Teltech Inc. [François Tessier] |  | 31
2024-12-02 22:40:05.57 | vgervais | APP_v5.D.1.xlsb | modFunctions:Fn_GetID_From_Client_Name - 1541 | 0,0312 sec. | 31

2024-12-02 22:40:05.59 | vgervais | APP_v5.D.1.xlsb |    ufSaisieHeures:txtClient_AfterUpdate - 1541 |  | 31
2024-12-02 22:40:05.63 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtClient_AfterUpdate | 0,1250 sec. | 31

2024-12-02 22:40:20.88 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate |  | 31
2024-12-02 22:40:20.93 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtActivite_AfterUpdate | 0,0469 sec. | 31

2024-12-02 22:40:22.27 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate |  | 31
2024-12-02 22:40:22.31 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0391 sec. | 31

2024-12-02 22:40:22.34 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_Exit |  | 31
2024-12-02 22:40:22.38 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:txtHeures_AfterUpdate | 0,0312 sec. | 31

2024-12-02 22:40:23.51 | vgervais | APP_v5.D.1.xlsb | ufSaisieHeures:cmdAdd_Click |  | 31
2024-12-02 22:40:23.55 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Ajoute_Ligne |  | 31
2024-12-02 22:40:23.58 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - TECID = '0' |  | 31
2024-12-02 22:40:23.73 | vgervais | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - AddingNewRecord - TECID = 0 |  | 31
2024-12-02 22:40:23.85 | vgervais | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le nouvel enregistrement, TECID a été assigné à 2756 |  | 31
2024-12-02 22:40:23.89 | vgervais | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Création du RecordSet |  | 31
2024-12-02 22:40:23.91 | vgervais | APP_v5.D.1.xlsb |      modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB - Le RecordSet a été ajouté pour le TECID = 2756 |  | 31
2024-12-02 22:40:24.17 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_To_DB | 0,5938 sec. | 31

2024-12-02 22:40:24.20 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally |  | 31
2024-12-02 22:40:24.27 | vgervais | APP_v5.D.1.xlsb | modTEC_Saisie:TEC_Record_Add_Or_Update_Locally | 0,0781 sec. | 31

