2024-11-02 13:53:03.08 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_New_Invoice | 6,6953 sec. | 31

2024-11-02 13:53:03.18 | Guillaume | APP_v5.D.0.xlsb | modFAC_Finale:FAC_Finale_Save | 29,2734 sec. | 31

2024-11-02 13:53:50.42 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11 -  |  | 31
2024-11-02 13:53:50.58 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11 | 0,1758 sec. | 31

2024-11-02 13:54:04.06 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11 -  |  | 31
2024-11-02 13:54:04.20 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$11 | 0,1445 sec. | 31

2024-11-02 13:54:09.46 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$13 -  |  | 31
2024-11-02 13:54:09.57 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$13 | 0,1133 sec. | 31

2024-11-02 13:54:16.71 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$15 -  |  | 31
2024-11-02 13:54:16.86 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$15 | 0,1719 sec. | 31

2024-11-02 13:54:23.85 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$17 -  |  | 31
2024-11-02 13:54:23.95 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$17 | 0,1133 sec. | 31

2024-11-02 13:54:34.66 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$19 -  |  | 31
2024-11-02 13:54:34.82 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$19 | 0,1719 sec. | 31

2024-11-02 13:55:05.48 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$21 -  |  | 31
2024-11-02 13:55:05.63 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$L$21 | 0,1562 sec. | 31

2024-11-02 13:55:13.09 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 -  |  | 31
2024-11-02 13:55:13.20 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Brouillon:Worksheet_Change:$S$44 | 0,1211 sec. | 31

2024-11-02 13:55:28.02 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale |  | 31
2024-11-02 13:55:28.37 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Finale:Worksheet_Activate |  | 31
2024-11-02 13:55:28.91 | Guillaume | APP_v5.D.0.xlsb | wshFAC_Finale:Worksheet_Activate | 0,5508 sec. | 31

2024-11-02 13:55:29.14 | Guillaume | APP_v5.D.0.xlsb | modFAC_Brouillon:FAC_Brouillon_Goto_Onglet_FAC_Finale | 1,1680 sec. | 31

